Broker          Stock           Value           Changes             Date and Time
Broker 4        Commodity       665             16              2/12/2023 7:41:19 PM
Broker 2        Banking         125             16              2/12/2023 7:41:19 PM
Broker 3        Banking         125             16              2/12/2023 7:41:19 PM
Broker 4        Banking         125             16              2/12/2023 7:41:19 PM
Broker 1        Retail          47              17              2/12/2023 7:41:19 PM
Broker 4        Retail          47              17              2/12/2023 7:41:19 PM
Broker 1        Technology      201             17              2/12/2023 7:41:19 PM
Broker 2        Technology      201             17              2/12/2023 7:41:19 PM
Broker 3        Technology      201             17              2/12/2023 7:41:19 PM
Broker 4        Technology      201             17              2/12/2023 7:41:19 PM
Broker 2        Commodity       671             17              2/12/2023 7:41:19 PM
Broker 4        Commodity       671             17              2/12/2023 7:41:19 PM
Broker 2        Banking         128             17              2/12/2023 7:41:19 PM
Broker 3        Banking         128             17              2/12/2023 7:41:19 PM
Broker 4        Banking         128             17              2/12/2023 7:41:19 PM
Broker 1        Retail          48              18              2/12/2023 7:41:20 PM
Broker 4        Retail          48              18              2/12/2023 7:41:20 PM
Broker 1        Technology      205             18              2/12/2023 7:41:20 PM
Broker 2        Technology      205             18              2/12/2023 7:41:20 PM
Broker 3        Technology      205             18              2/12/2023 7:41:20 PM
Broker 4        Technology      205             18              2/12/2023 7:41:20 PM
Broker 2        Commodity       685             18              2/12/2023 7:41:20 PM
Broker 4        Commodity       685             18              2/12/2023 7:41:20 PM
Broker 2        Banking         130             18              2/12/2023 7:41:20 PM
Broker 3        Banking         130             18              2/12/2023 7:41:20 PM
Broker 4        Banking         130             18              2/12/2023 7:41:20 PM
Broker 1        Technology      207             19              2/12/2023 7:41:20 PM
Broker 2        Technology      207             19              2/12/2023 7:41:20 PM
Broker 3        Technology      207             19              2/12/2023 7:41:20 PM
Broker 4        Technology      207             19              2/12/2023 7:41:20 PM
Broker 1        Retail          49              19              2/12/2023 7:41:20 PM
Broker 4        Retail          49              19              2/12/2023 7:41:20 PM
Broker 2        Commodity       690             19              2/12/2023 7:41:20 PM
Broker 4        Commodity       690             19              2/12/2023 7:41:20 PM
Broker 2        Banking         132             19              2/12/2023 7:41:20 PM
Broker 3        Banking         132             19              2/12/2023 7:41:20 PM
Broker 4        Banking         132             19              2/12/2023 7:41:20 PM
Broker 1        Retail          50              20              2/12/2023 7:41:21 PM
Broker 4        Retail          50              20              2/12/2023 7:41:21 PM
Broker 1        Technology      209             20              2/12/2023 7:41:21 PM
Broker 2        Technology      209             20              2/12/2023 7:41:21 PM
Broker 3        Technology      209             20              2/12/2023 7:41:21 PM
Broker 4        Technology      209             20              2/12/2023 7:41:21 PM
Broker 2        Commodity       699             20              2/12/2023 7:41:21 PM
Broker 4        Commodity       699             20              2/12/2023 7:41:21 PM
Broker 2        Banking         134             20              2/12/2023 7:41:21 PM
Broker 3        Banking         134             20              2/12/2023 7:41:21 PM
Broker 4        Banking         134             20              2/12/2023 7:41:21 PM
Broker 1        Retail          51              21              2/12/2023 7:41:21 PM
Broker 4        Retail          51              21              2/12/2023 7:41:21 PM
Broker 1        Technology      210             21              2/12/2023 7:41:21 PM
Broker 2        Technology      210             21              2/12/2023 7:41:21 PM
Broker 3        Technology      210             21              2/12/2023 7:41:21 PM
Broker 4        Technology      210             21              2/12/2023 7:41:21 PM
Broker 2        Commodity       707             21              2/12/2023 7:41:21 PM
Broker 4        Commodity       707             21              2/12/2023 7:41:21 PM
Broker 2        Banking         137             21              2/12/2023 7:41:21 PM
Broker 3        Banking         137             21              2/12/2023 7:41:21 PM
Broker 4        Banking         137             21              2/12/2023 7:41:21 PM
Broker 1        Retail          52              22              2/12/2023 7:41:22 PM
Broker 4        Retail          52              22              2/12/2023 7:41:22 PM
Broker 1        Technology      212             22              2/12/2023 7:41:22 PM
Broker 2        Technology      212             22              2/12/2023 7:41:22 PM
Broker 3        Technology      212             22              2/12/2023 7:41:22 PM
Broker 4        Technology      212             22              2/12/2023 7:41:22 PM
Broker 2        Commodity       714             22              2/12/2023 7:41:22 PM
Broker 4        Commodity       714             22              2/12/2023 7:41:22 PM
Broker 2        Banking         140             22              2/12/2023 7:41:22 PM
Broker 3        Banking         140             22              2/12/2023 7:41:22 PM
Broker 4        Banking         140             22              2/12/2023 7:41:22 PM
Broker 1        Retail          53              23              2/12/2023 7:41:22 PM
Broker 4        Retail          53              23              2/12/2023 7:41:22 PM
Broker 1        Technology      214             23              2/12/2023 7:41:22 PM
Broker 2        Technology      214             23              2/12/2023 7:41:22 PM
Broker 3        Technology      214             23              2/12/2023 7:41:22 PM
Broker 4        Technology      214             23              2/12/2023 7:41:22 PM
Broker 2        Commodity       716             23              2/12/2023 7:41:22 PM
Broker 4        Commodity       716             23              2/12/2023 7:41:22 PM
Broker 2        Banking         143             23              2/12/2023 7:41:22 PM
Broker 3        Banking         143             23              2/12/2023 7:41:22 PM
Broker 4        Banking         143             23              2/12/2023 7:41:22 PM
Broker 1        Technology      217             24              2/12/2023 7:41:23 PM
Broker 2        Technology      217             24              2/12/2023 7:41:23 PM
Broker 3        Technology      217             24              2/12/2023 7:41:23 PM
Broker 4        Technology      217             24              2/12/2023 7:41:23 PM
Broker 1        Retail          54              24              2/12/2023 7:41:23 PM
Broker 4        Retail          54              24              2/12/2023 7:41:23 PM
Broker 2        Commodity       718             24              2/12/2023 7:41:23 PM
Broker 4        Commodity       718             24              2/12/2023 7:41:23 PM
Broker 2        Banking         144             24              2/12/2023 7:41:23 PM
Broker 3        Banking         144             24              2/12/2023 7:41:23 PM
Broker 4        Banking         144             24              2/12/2023 7:41:23 PM
Broker 1        Technology      218             25              2/12/2023 7:41:23 PM
Broker 2        Technology      218             25              2/12/2023 7:41:23 PM
Broker 3        Technology      218             25              2/12/2023 7:41:23 PM
Broker 4        Technology      218             25              2/12/2023 7:41:23 PM
Broker 1        Retail          55              25              2/12/2023 7:41:23 PM
Broker 4        Retail          55              25              2/12/2023 7:41:23 PM
Broker 2        Commodity       726             25              2/12/2023 7:41:23 PM
Broker 4        Commodity       726             25              2/12/2023 7:41:23 PM
Broker 2        Banking         146             25              2/12/2023 7:41:23 PM
Broker 3        Banking         146             25              2/12/2023 7:41:23 PM
Broker 4        Banking         146             25              2/12/2023 7:41:23 PM
